Year,Period ID,Period,Area,Adjusted,Unemployment
"2009","08","Aug","Abilene MSA","Adj","5,227"
"2009","09","Sep","Abilene MSA","Adj","5,276"
"2009","10","Oct","Abilene MSA","Adj","5,267"
"2009","11","Nov","Abilene MSA","Adj","5,241"
"2009","12","Dec","Abilene MSA","Adj","5,292"
"2008","01","Jan","Abilene MSA","Adj","2,910"
"2008","02","Feb","Abilene MSA","Adj","2,830"
"2008","03","Mar","Abilene MSA","Adj","2,815"
"2008","04","Apr","Abilene MSA","Adj","2,845"
"2008","05","May","Abilene MSA","Adj","2,907"
"2008","06","Jun","Abilene MSA","Adj","2,962"
"2008","07","Jul","Abilene MSA","Adj","3,066"
"2008","08","Aug","Abilene MSA","Adj","3,199"
"2008","09","Sep","Abilene MSA","Adj","3,270"
"2008","10","Oct","Abilene MSA","Adj","3,344"
"2008","11","Nov","Abilene MSA","Adj","3,480"
"2008","12","Dec","Abilene MSA","Adj","3,654"
"2007","01","Jan","Abilene MSA","Adj","2,908"
"2007","02","Feb","Abilene MSA","Adj","2,856"
"2007","03","Mar","Abilene MSA","Adj","2,794"
"2007","04","Apr","Abilene MSA","Adj","2,760"
"2007","05","May","Abilene MSA","Adj","2,727"
"2007","06","Jun","Abilene MSA","Adj","2,725"
"2007","07","Jul","Abilene MSA","Adj","2,730"
"2007","08","Aug","Abilene MSA","Adj","2,755"
"2007","09","Sep","Abilene MSA","Adj","2,842"
"2007","10","Oct","Abilene MSA","Adj","2,895"
"2007","11","Nov","Abilene MSA","Adj","2,938"
"2007","12","Dec","Abilene MSA","Adj","2,976"
"2006","01","Jan","Abilene MSA","Adj","3,301"
"2006","02","Feb","Abilene MSA","Adj","3,344"
"2006","03","Mar","Abilene MSA","Adj","3,390"
"2006","04","Apr","Abilene MSA","Adj","3,410"
"2006","05","May","Abilene MSA","Adj","3,383"
"2006","06","Jun","Abilene MSA","Adj","3,333"
"2006","07","Jul","Abilene MSA","Adj","3,305"
"2006","08","Aug","Abilene MSA","Adj","3,242"
"2006","09","Sep","Abilene MSA","Adj","3,135"
"2006","10","Oct","Abilene MSA","Adj","3,074"
"2006","11","Nov","Abilene MSA","Adj","3,035"
"2006","12","Dec","Abilene MSA","Adj","2,959"
"2005","01","Jan","Abilene MSA","Adj","3,575"
"2005","02","Feb","Abilene MSA","Adj","3,574"
"2005","03","Mar","Abilene MSA","Adj","3,539"
"2005","04","Apr","Abilene MSA","Adj","3,496"
"2005","05","May","Abilene MSA","Adj","3,421"
"2005","06","Jun","Abilene MSA","Adj","3,299"
"2005","07","Jul","Abilene MSA","Adj","3,282"
"2005","08","Aug","Abilene MSA","Adj","3,305"
"2005","09","Sep","Abilene MSA","Adj","3,242"
"2005","10","Oct","Abilene MSA","Adj","3,210"
"2005","11","Nov","Abilene MSA","Adj","3,273"
"2005","12","Dec","Abilene MSA","Adj","3,302"
"2004","01","Jan","Abilene MSA","Adj","4,006"
"2004","02","Feb","Abilene MSA","Adj","3,955"
"2004","03","Mar","Abilene MSA","Adj","3,901"
"2004","04","Apr","Abilene MSA","Adj","3,807"
"2004","05","May","Abilene MSA","Adj","3,711"
"2004","06","Jun","Abilene MSA","Adj","3,643"
"2004","07","Jul","Abilene MSA","Adj","3,550"
"2004","08","Aug","Abilene MSA","Adj","3,486"
"2004","09","Sep","Abilene MSA","Adj","3,515"
"2004","10","Oct","Abilene MSA","Adj","3,599"
"2004","11","Nov","Abilene MSA","Adj","3,652"
"2004","12","Dec","Abilene MSA","Adj","3,622"
"2003","01","Jan","Abilene MSA","Adj","4,130"
"2003","02","Feb","Abilene MSA","Adj","4,147"
"2003","03","Mar","Abilene MSA","Adj","4,180"
"2003","04","Apr","Abilene MSA","Adj","4,275"
"2003","05","May","Abilene MSA","Adj","4,380"
"2003","06","Jun","Abilene MSA","Adj","4,409"
"2003","07","Jul","Abilene MSA","Adj","4,327"
"2003","08","Aug","Abilene MSA","Adj","4,265"
"2003","09","Sep","Abilene MSA","Adj","4,241"
"2003","10","Oct","Abilene MSA","Adj","4,188"
"2003","11","Nov","Abilene MSA","Adj","4,102"
"2003","12","Dec","Abilene MSA","Adj","4,037"
"2002","01","Jan","Abilene MSA","Adj","3,676"
"2002","02","Feb","Abilene MSA","Adj","3,684"
"2002","03","Mar","Abilene MSA","Adj","3,797"
"2002","04","Apr","Abilene MSA","Adj","3,907"
"2002","05","May","Abilene MSA","Adj","3,924"
"2002","06","Jun","Abilene MSA","Adj","3,975"
"2002","07","Jul","Abilene MSA","Adj","4,029"
"2002","08","Aug","Abilene MSA","Adj","4,026"
"2002","09","Sep","Abilene MSA","Adj","4,026"
"2002","10","Oct","Abilene MSA","Adj","4,064"
"2002","11","Nov","Abilene MSA","Adj","4,110"
"2002","12","Dec","Abilene MSA","Adj","4,117"
"2001","01","Jan","Abilene MSA","Adj","2,998"
"2001","02","Feb","Abilene MSA","Adj","3,058"
"2001","03","Mar","Abilene MSA","Adj","3,171"
"2001","04","Apr","Abilene MSA","Adj","3,273"
"2001","05","May","Abilene MSA","Adj","3,303"
"2001","06","Jun","Abilene MSA","Adj","3,309"
"2001","07","Jul","Abilene MSA","Adj","3,335"
"2001","08","Aug","Abilene MSA","Adj","3,410"
"2001","09","Sep","Abilene MSA","Adj","3,497"
"2001","10","Oct","Abilene MSA","Adj","3,565"
"2001","11","Nov","Abilene MSA","Adj","3,609"
"2001","12","Dec","Abilene MSA","Adj","3,657"
"2000","01","Jan","Abilene MSA","Adj","3,313"
"2000","02","Feb","Abilene MSA","Adj","3,341"
"2000","03","Mar","Abilene MSA","Adj","3,262"
"2000","04","Apr","Abilene MSA","Adj","3,151"
"2000","05","May","Abilene MSA","Adj","3,100"
"2000","06","Jun","Abilene MSA","Adj","3,035"
"2000","07","Jul","Abilene MSA","Adj","3,010"
"2000","08","Aug","Abilene MSA","Adj","3,044"
"2000","09","Sep","Abilene MSA","Adj","3,050"
"2000","10","Oct","Abilene MSA","Adj","3,003"
"2000","11","Nov","Abilene MSA","Adj","2,934"
"2000","12","Dec","Abilene MSA","Adj","2,937"
"1999","01","Jan","Abilene MSA","Adj","2,851"
"1999","02","Feb","Abilene MSA","Adj","2,854"
"1999","03","Mar","Abilene MSA","Adj","2,832"
"1999","04","Apr","Abilene MSA","Adj","2,836"
"1999","05","May","Abilene MSA","Adj","2,828"
"1999","06","Jun","Abilene MSA","Adj","2,808"
"1999","07","Jul","Abilene MSA","Adj","2,800"
"1999","08","Aug","Abilene MSA","Adj","2,798"
"1999","09","Sep","Abilene MSA","Adj","2,819"
"1999","10","Oct","Abilene MSA","Adj","2,877"
"1999","11","Nov","Abilene MSA","Adj","2,958"
"1999","12","Dec","Abilene MSA","Adj","3,020"
"1998","01","Jan","Abilene MSA","Adj","2,617"
"1998","02","Feb","Abilene MSA","Adj","2,601"
"1998","03","Mar","Abilene MSA","Adj","2,607"
"1998","04","Apr","Abilene MSA","Adj","2,634"
"1998","05","May","Abilene MSA","Adj","2,725"
"1998","06","Jun","Abilene MSA","Adj","2,833"
"1998","07","Jul","Abilene MSA","Adj","2,903"
"1998","08","Aug","Abilene MSA","Adj","2,958"
"1998","09","Sep","Abilene MSA","Adj","2,976"
"1998","10","Oct","Abilene MSA","Adj","2,928"
"1998","11","Nov","Abilene MSA","Adj","2,853"
"1998","12","Dec","Abilene MSA","Adj","2,824"
"1997","01","Jan","Abilene MSA","Adj","3,171"
"1997","02","Feb","Abilene MSA","Adj","3,189"
"1997","03","Mar","Abilene MSA","Adj","3,205"
"1997","04","Apr","Abilene MSA","Adj","3,142"
"1997","05","May","Abilene MSA","Adj","3,071"
"1997","06","Jun","Abilene MSA","Adj","3,006"
"1997","07","Jul","Abilene MSA","Adj","2,930"
"1997","08","Aug","Abilene MSA","Adj","2,856"
"1997","09","Sep","Abilene MSA","Adj","2,776"
"1997","10","Oct","Abilene MSA","Adj","2,702"
"1997","11","Nov","Abilene MSA","Adj","2,663"
"1997","12","Dec","Abilene MSA","Adj","2,646"
"1996","01","Jan","Abilene MSA","Adj","3,958"
"1996","02","Feb","Abilene MSA","Adj","3,957"
"1996","03","Mar","Abilene MSA","Adj","3,893"
"1996","04","Apr","Abilene MSA","Adj","3,807"
"1996","05","May","Abilene MSA","Adj","3,674"
"1996","06","Jun","Abilene MSA","Adj","3,518"
"1996","07","Jul","Abilene MSA","Adj","3,408"
"1996","08","Aug","Abilene MSA","Adj","3,332"
"1996","09","Sep","Abilene MSA","Adj","3,283"
"1996","10","Oct","Abilene MSA","Adj","3,277"
"1996","11","Nov","Abilene MSA","Adj","3,271"
"1996","12","Dec","Abilene MSA","Adj","3,222"
"1995","01","Jan","Abilene MSA","Adj","3,377"
"1995","02","Feb","Abilene MSA","Adj","3,438"
"1995","03","Mar","Abilene MSA","Adj","3,529"
"1995","04","Apr","Abilene MSA","Adj","3,673"
"1995","05","May","Abilene MSA","Adj","3,726"
"1995","06","Jun","Abilene MSA","Adj","3,724"
"1995","07","Jul","Abilene MSA","Adj","3,748"
"1995","08","Aug","Abilene MSA","Adj","3,774"
"1995","09","Sep","Abilene MSA","Adj","3,765"
"1995","10","Oct","Abilene MSA","Adj","3,750"
"1995","11","Nov","Abilene MSA","Adj","3,785"
"1995","12","Dec","Abilene MSA","Adj","3,875"
"1994","01","Jan","Abilene MSA","Adj","4,069"
"1994","02","Feb","Abilene MSA","Adj","4,121"
"1994","03","Mar","Abilene MSA","Adj","4,063"
"1994","04","Apr","Abilene MSA","Adj","3,895"
"1994","05","May","Abilene MSA","Adj","3,703"
"1994","06","Jun","Abilene MSA","Adj","3,581"
"1994","07","Jul","Abilene MSA","Adj","3,509"
"1994","08","Aug","Abilene MSA","Adj","3,414"
"1994","09","Sep","Abilene MSA","Adj","3,340"
"1994","10","Oct","Abilene MSA","Adj","3,315"
"1994","11","Nov","Abilene MSA","Adj","3,271"
"1994","12","Dec","Abilene MSA","Adj","3,279"
"1993","01","Jan","Abilene MSA","Adj","3,853"
"1993","02","Feb","Abilene MSA","Adj","3,715"
"1993","03","Mar","Abilene MSA","Adj","3,663"
"1993","04","Apr","Abilene MSA","Adj","3,657"
"1993","05","May","Abilene MSA","Adj","3,722"
"1993","06","Jun","Abilene MSA","Adj","3,902"
"1993","07","Jul","Abilene MSA","Adj","4,058"
"1993","08","Aug","Abilene MSA","Adj","4,072"
"1993","09","Sep","Abilene MSA","Adj","4,056"
"1993","10","Oct","Abilene MSA","Adj","4,063"
"1993","11","Nov","Abilene MSA","Adj","4,036"
"1993","12","Dec","Abilene MSA","Adj","4,016"
"1992","01","Jan","Abilene MSA","Adj","3,763"
"1992","02","Feb","Abilene MSA","Adj","3,885"
"1992","03","Mar","Abilene MSA","Adj","3,864"
"1992","04","Apr","Abilene MSA","Adj","3,798"
"1992","05","May","Abilene MSA","Adj","3,849"
"1992","06","Jun","Abilene MSA","Adj","3,911"
"1992","07","Jul","Abilene MSA","Adj","3,883"
"1992","08","Aug","Abilene MSA","Adj","3,879"
"1992","09","Sep","Abilene MSA","Adj","3,958"
"1992","10","Oct","Abilene MSA","Adj","4,028"
"1992","11","Nov","Abilene MSA","Adj","4,059"
"1992","12","Dec","Abilene MSA","Adj","4,008"
"1991","01","Jan","Abilene MSA","Adj","3,837"
"1991","02","Feb","Abilene MSA","Adj","3,687"
"1991","03","Mar","Abilene MSA","Adj","3,711"
"1991","04","Apr","Abilene MSA","Adj","3,789"
"1991","05","May","Abilene MSA","Adj","3,799"
"1991","06","Jun","Abilene MSA","Adj","3,711"
"1991","07","Jul","Abilene MSA","Adj","3,581"
"1991","08","Aug","Abilene MSA","Adj","3,498"
"1991","09","Sep","Abilene MSA","Adj","3,514"
"1991","10","Oct","Abilene MSA","Adj","3,590"
"1991","11","Nov","Abilene MSA","Adj","3,636"
"1991","12","Dec","Abilene MSA","Adj","3,664"
"1990","01","Jan","Abilene MSA","Adj","3,903"
"1990","02","Feb","Abilene MSA","Adj","3,872"
"1990","03","Mar","Abilene MSA","Adj","3,861"
"1990","04","Apr","Abilene MSA","Adj","3,897"
"1990","05","May","Abilene MSA","Adj","3,930"
"1990","06","Jun","Abilene MSA","Adj","3,957"
"1990","07","Jul","Abilene MSA","Adj","4,085"
"1990","08","Aug","Abilene MSA","Adj","4,296"
"1990","09","Sep","Abilene MSA","Adj","4,349"
"1990","10","Oct","Abilene MSA","Adj","4,242"
"1990","11","Nov","Abilene MSA","Adj","4,175"
"1990","12","Dec","Abilene MSA","Adj","4,066"
"2017","01","Jan","Amarillo MSA","Adj","4,364"
"2017","02","Feb","Amarillo MSA","Adj","4,682"
"2017","03","Mar","Amarillo MSA","Adj","4,825"
"2017","04","Apr","Amarillo MSA","Adj","4,604"
"2017","05","May","Amarillo MSA","Adj","4,393"
"2017","06","Jun","Amarillo MSA","Adj","4,032"
"2017","07","Jul","Amarillo MSA","Adj","3,699"
"2017","08","Aug","Amarillo MSA","Adj","3,822"
"2017","09","Sep","Amarillo MSA","Adj","3,630"
"2016","01","Jan","Amarillo MSA","Adj","3,897"
"2016","02","Feb","Amarillo MSA","Adj","3,874"
"2016","03","Mar","Amarillo MSA","Adj","4,064"
"2016","04","Apr","Amarillo MSA","Adj","4,079"
"2016","05","May","Amarillo MSA","Adj","3,937"
"2016","06","Jun","Amarillo MSA","Adj","3,766"
"2016","07","Jul","Amarillo MSA","Adj","3,991"
"2016","08","Aug","Amarillo MSA","Adj","4,137"
"2016","09","Sep","Amarillo MSA","Adj","4,396"
"2016","10","Oct","Amarillo MSA","Adj","4,287"
"2016","11","Nov","Amarillo MSA","Adj","4,153"
"2016","12","Dec","Amarillo MSA","Adj","4,463"
"2015","01","Jan","Amarillo MSA","Adj","4,188"
"2015","02","Feb","Amarillo MSA","Adj","4,105"
"2015","03","Mar","Amarillo MSA","Adj","4,037"
"2015","04","Apr","Amarillo MSA","Adj","4,075"
"2015","05","May","Amarillo MSA","Adj","4,082"
"2015","06","Jun","Amarillo MSA","Adj","3,972"
"2015","07","Jul","Amarillo MSA","Adj","3,922"
"2015","08","Aug","Amarillo MSA","Adj","3,949"
"2015","09","Sep","Amarillo MSA","Adj","4,033"
"2015","10","Oct","Amarillo MSA","Adj","4,133"
"2015","11","Nov","Amarillo MSA","Adj","4,152"
"2015","12","Dec","Amarillo MSA","Adj","4,136"
"2014","01","Jan","Amarillo MSA","Adj","5,332"
"2014","02","Feb","Amarillo MSA","Adj","5,304"
"2014","03","Mar","Amarillo MSA","Adj","5,182"
"2014","04","Apr","Amarillo MSA","Adj","4,964"
"2014","05","May","Amarillo MSA","Adj","4,844"
"2014","06","Jun","Amarillo MSA","Adj","4,778"
"2014","07","Jul","Amarillo MSA","Adj","4,760"
"2014","08","Aug","Amarillo MSA","Adj","4,700"
"2014","09","Sep","Amarillo MSA","Adj","4,579"
"2014","10","Oct","Amarillo MSA","Adj","4,490"
"2014","11","Nov","Amarillo MSA","Adj","4,386"
"2014","12","Dec","Amarillo MSA","Adj","4,267"
"2013","01","Jan","Amarillo MSA","Adj","6,290"
"2013","02","Feb","Amarillo MSA","Adj","6,212"
"2013","03","Mar","Amarillo MSA","Adj","6,174"
"2013","04","Apr","Amarillo MSA","Adj","6,204"
"2013","05","May","Amarillo MSA","Adj","6,248"
"2013","06","Jun","Amarillo MSA","Adj","6,230"
"2013","07","Jul","Amarillo MSA","Adj","6,099"
"2013","08","Aug","Amarillo MSA","Adj","5,972"
"2013","09","Sep","Amarillo MSA","Adj","5,922"
"2013","10","Oct","Amarillo MSA","Adj","5,832"
"2013","11","Nov","Amarillo MSA","Adj","5,666"
"2013","12","Dec","Amarillo MSA","Adj","5,476"
"2012","01","Jan","Amarillo MSA","Adj","6,630"
"2012","02","Feb","Amarillo MSA","Adj","6,563"
"2012","03","Mar","Amarillo MSA","Adj","6,493"
"2012","04","Apr","Amarillo MSA","Adj","6,434"
"2012","05","May","Amarillo MSA","Adj","6,469"
"2012","06","Jun","Amarillo MSA","Adj","6,551"
"2012","07","Jul","Amarillo MSA","Adj","6,552"
"2012","08","Aug","Amarillo MSA","Adj","6,347"
"2012","09","Sep","Amarillo MSA","Adj","6,096"
"2012","10","Oct","Amarillo MSA","Adj","6,029"
"2012","11","Nov","Amarillo MSA","Adj","6,093"
"2012","12","Dec","Amarillo MSA","Adj","6,230"
"2011","01","Jan","Amarillo MSA","Adj","7,291"
"2011","02","Feb","Amarillo MSA","Adj","7,167"
"2011","03","Mar","Amarillo MSA","Adj","7,099"
"2011","04","Apr","Amarillo MSA","Adj","7,121"
"2011","05","May","Amarillo MSA","Adj","7,199"
"2011","06","Jun","Amarillo MSA","Adj","7,275"
"2011","07","Jul","Amarillo MSA","Adj","7,261"
"2011","08","Aug","Amarillo MSA","Adj","7,244"
"2011","09","Sep","Amarillo MSA","Adj","7,238"
"2011","10","Oct","Amarillo MSA","Adj","7,059"
"2011","11","Nov","Amarillo MSA","Adj","6,831"
"2011","12","Dec","Amarillo MSA","Adj","6,717"
"2010","01","Jan","Amarillo MSA","Adj","7,566"
"2010","02","Feb","Amarillo MSA","Adj","7,526"
"2010","03","Mar","Amarillo MSA","Adj","7,545"
"2010","04","Apr","Amarillo MSA","Adj","7,528"
"2010","05","May","Amarillo MSA","Adj","7,326"
"2010","06","Jun","Amarillo MSA","Adj","7,145"
"2010","07","Jul","Amarillo MSA","Adj","7,119"
"2010","08","Aug","Amarillo MSA","Adj","7,142"
"2010","09","Sep","Amarillo MSA","Adj","7,175"
"2010","10","Oct","Amarillo MSA","Adj","7,303"
"2010","11","Nov","Amarillo MSA","Adj","7,442"
"2010","12","Dec","Amarillo MSA","Adj","7,413"
"2009","01","Jan","Amarillo MSA","Adj","5,598"
"2009","02","Feb","Amarillo MSA","Adj","5,826"
"2009","03","Mar","Amarillo MSA","Adj","5,833"
"2009","04","Apr","Amarillo MSA","Adj","5,747"
"2009","05","May","Amarillo MSA","Adj","7,055"
"2009","06","Jun","Amarillo MSA","Adj","7,425"
"2009","07","Jul","Amarillo MSA","Adj","7,633"
"2009","08","Aug","Amarillo MSA","Adj","7,680"
"2009","09","Sep","Amarillo MSA","Adj","7,730"
"2009","10","Oct","Amarillo MSA","Adj","7,646"
"2009","11","Nov","Amarillo MSA","Adj","7,531"
"2009","12","Dec","Amarillo MSA","Adj","7,551"
"2008","01","Jan","Amarillo MSA","Adj","4,287"
"2008","02","Feb","Amarillo MSA","Adj","4,143"
"2008","03","Mar","Amarillo MSA","Adj","4,094"
"2008","04","Apr","Amarillo MSA","Adj","4,135"
"2008","05","May","Amarillo MSA","Adj","4,264"
"2008","06","Jun","Amarillo MSA","Adj","4,376"
"2008","07","Jul","Amarillo MSA","Adj","4,534"
"2008","08","Aug","Amarillo MSA","Adj","4,717"
"2008","09","Sep","Amarillo MSA","Adj","4,821"
"2008","10","Oct","Amarillo MSA","Adj","4,932"
"2008","11","Nov","Amarillo MSA","Adj","5,082"
"2008","12","Dec","Amarillo MSA","Adj","5,293"
"2007","01","Jan","Amarillo MSA","Adj","4,417"
"2007","02","Feb","Amarillo MSA","Adj","4,354"
"2007","03","Mar","Amarillo MSA","Adj","4,334"
"2007","04","Apr","Amarillo MSA","Adj","4,345"
"2007","05","May","Amarillo MSA","Adj","4,219"
"2007","06","Jun","Amarillo MSA","Adj","4,106"
"2007","07","Jul","Amarillo MSA","Adj","4,097"
"2007","08","Aug","Amarillo MSA","Adj","4,140"
"2007","09","Sep","Amarillo MSA","Adj","4,220"
"2007","10","Oct","Amarillo MSA","Adj","4,241"
"2007","11","Nov","Amarillo MSA","Adj","4,311"
"2007","12","Dec","Amarillo MSA","Adj","4,397"
"2006","01","Jan","Amarillo MSA","Adj","4,795"
"2006","02","Feb","Amarillo MSA","Adj","4,853"
"2006","03","Mar","Amarillo MSA","Adj","4,985"
"2006","04","Apr","Amarillo MSA","Adj","5,038"
"2006","05","May","Amarillo MSA","Adj","5,005"
"2006","06","Jun","Amarillo MSA","Adj","4,929"
"2006","07","Jul","Amarillo MSA","Adj","4,902"
"2006","08","Aug","Amarillo MSA","Adj","4,842"
"2006","09","Sep","Amarillo MSA","Adj","4,699"
"2006","10","Oct","Amarillo MSA","Adj","4,612"
"2006","11","Nov","Amarillo MSA","Adj","4,572"
"2006","12","Dec","Amarillo MSA","Adj","4,483"
"2005","01","Jan","Amarillo MSA","Adj","5,426"
"2005","02","Feb","Amarillo MSA","Adj","5,425"
"2005","03","Mar","Amarillo MSA","Adj","5,319"
"2005","04","Apr","Amarillo MSA","Adj","5,229"
"2005","05","May","Amarillo MSA","Adj","5,119"
"2005","06","Jun","Amarillo MSA","Adj","4,956"
"2005","07","Jul","Amarillo MSA","Adj","4,937"
"2005","08","Aug","Amarillo MSA","Adj","4,958"
"2005","09","Sep","Amarillo MSA","Adj","4,829"
"2005","10","Oct","Amarillo MSA","Adj","4,759"
"2005","11","Nov","Amarillo MSA","Adj","4,876"
"2005","12","Dec","Amarillo MSA","Adj","4,894"
"2004","01","Jan","Amarillo MSA","Adj","5,661"
"2004","02","Feb","Amarillo MSA","Adj","5,596"
"2004","03","Mar","Amarillo MSA","Adj","5,562"
"2004","04","Apr","Amarillo MSA","Adj","5,512"
"2004","05","May","Amarillo MSA","Adj","5,429"
"2004","06","Jun","Amarillo MSA","Adj","5,374"
"2004","07","Jul","Amarillo MSA","Adj","5,279"
"2004","08","Aug","Amarillo MSA","Adj","5,203"
"2004","09","Sep","Amarillo MSA","Adj","5,266"
"2004","10","Oct","Amarillo MSA","Adj","5,384"
"2004","11","Nov","Amarillo MSA","Adj","5,431"
"2004","12","Dec","Amarillo MSA","Adj","5,414"
"2003","01","Jan","Amarillo MSA","Adj","5,995"
"2003","02","Feb","Amarillo MSA","Adj","6,067"
"2003","03","Mar","Amarillo MSA","Adj","6,062"
"2003","04","Apr","Amarillo MSA","Adj","6,136"
"2003","05","May","Amarillo MSA","Adj","6,319"
"2003","06","Jun","Amarillo MSA","Adj","6,410"
"2003","07","Jul","Amarillo MSA","Adj","6,306"
"2003","08","Aug","Amarillo MSA","Adj","6,231"
"2003","09","Sep","Amarillo MSA","Adj","6,176"
"2003","10","Oct","Amarillo MSA","Adj","6,022"
"2003","11","Nov","Amarillo MSA","Adj","5,823"
"2003","12","Dec","Amarillo MSA","Adj","5,699"
"2002","01","Jan","Amarillo MSA","Adj","5,285"
"2002","02","Feb","Amarillo MSA","Adj","5,302"
"2002","03","Mar","Amarillo MSA","Adj","5,434"
