Year,Period ID,Period,Area,Adjusted,Employment
"2001","10","Oct","Abilene MSA","Adj","71,800"
"2001","11","Nov","Abilene MSA","Adj","72,179"
"2001","12","Dec","Abilene MSA","Adj","72,493"
"2000","01","Jan","Abilene MSA","Adj","72,960"
"2000","02","Feb","Abilene MSA","Adj","72,947"
"2000","03","Mar","Abilene MSA","Adj","72,948"
"2000","04","Apr","Abilene MSA","Adj","72,869"
"2000","05","May","Abilene MSA","Adj","72,605"
"2000","06","Jun","Abilene MSA","Adj","72,219"
"2000","07","Jul","Abilene MSA","Adj","71,898"
"2000","08","Aug","Abilene MSA","Adj","71,747"
"2000","09","Sep","Abilene MSA","Adj","71,722"
"2000","10","Oct","Abilene MSA","Adj","71,829"
"2000","11","Nov","Abilene MSA","Adj","72,032"
"2000","12","Dec","Abilene MSA","Adj","72,247"
"1999","01","Jan","Abilene MSA","Adj","72,912"
"1999","02","Feb","Abilene MSA","Adj","72,901"
"1999","03","Mar","Abilene MSA","Adj","72,941"
"1999","04","Apr","Abilene MSA","Adj","72,952"
"1999","05","May","Abilene MSA","Adj","73,051"
"1999","06","Jun","Abilene MSA","Adj","73,103"
"1999","07","Jul","Abilene MSA","Adj","73,051"
"1999","08","Aug","Abilene MSA","Adj","73,010"
"1999","09","Sep","Abilene MSA","Adj","72,945"
"1999","10","Oct","Abilene MSA","Adj","72,896"
"1999","11","Nov","Abilene MSA","Adj","72,903"
"1999","12","Dec","Abilene MSA","Adj","72,879"
"1998","01","Jan","Abilene MSA","Adj","74,195"
"1998","02","Feb","Abilene MSA","Adj","74,552"
"1998","03","Mar","Abilene MSA","Adj","74,491"
"1998","04","Apr","Abilene MSA","Adj","74,288"
"1998","05","May","Abilene MSA","Adj","74,189"
"1998","06","Jun","Abilene MSA","Adj","74,253"
"1998","07","Jul","Abilene MSA","Adj","74,336"
"1998","08","Aug","Abilene MSA","Adj","74,219"
"1998","09","Sep","Abilene MSA","Adj","73,943"
"1998","10","Oct","Abilene MSA","Adj","73,589"
"1998","11","Nov","Abilene MSA","Adj","73,315"
"1998","12","Dec","Abilene MSA","Adj","73,107"
"1997","01","Jan","Abilene MSA","Adj","73,686"
"1997","02","Feb","Abilene MSA","Adj","73,587"
"1997","03","Mar","Abilene MSA","Adj","73,701"
"1997","04","Apr","Abilene MSA","Adj","73,758"
"1997","05","May","Abilene MSA","Adj","73,770"
"1997","06","Jun","Abilene MSA","Adj","73,689"
"1997","07","Jul","Abilene MSA","Adj","73,589"
"1997","08","Aug","Abilene MSA","Adj","73,597"
"1997","09","Sep","Abilene MSA","Adj","73,600"
"1997","10","Oct","Abilene MSA","Adj","73,690"
"1997","11","Nov","Abilene MSA","Adj","73,777"
"1997","12","Dec","Abilene MSA","Adj","73,829"
"1996","01","Jan","Abilene MSA","Adj","72,841"
"1996","02","Feb","Abilene MSA","Adj","72,997"
"1996","03","Mar","Abilene MSA","Adj","73,302"
"1996","04","Apr","Abilene MSA","Adj","73,489"
"1996","05","May","Abilene MSA","Adj","73,536"
"1996","06","Jun","Abilene MSA","Adj","73,480"
"1996","07","Jul","Abilene MSA","Adj","73,366"
"1996","08","Aug","Abilene MSA","Adj","73,411"
"1996","09","Sep","Abilene MSA","Adj","73,616"
"1996","10","Oct","Abilene MSA","Adj","73,813"
"1996","11","Nov","Abilene MSA","Adj","73,982"
"1996","12","Dec","Abilene MSA","Adj","73,952"
"1995","01","Jan","Abilene MSA","Adj","72,185"
"1995","02","Feb","Abilene MSA","Adj","72,292"
"1995","03","Mar","Abilene MSA","Adj","72,219"
"1995","04","Apr","Abilene MSA","Adj","72,211"
"1995","05","May","Abilene MSA","Adj","72,152"
"1995","06","Jun","Abilene MSA","Adj","72,129"
"1995","07","Jul","Abilene MSA","Adj","72,277"
"1995","08","Aug","Abilene MSA","Adj","72,512"
"1995","09","Sep","Abilene MSA","Adj","72,870"
"1995","10","Oct","Abilene MSA","Adj","73,173"
"1995","11","Nov","Abilene MSA","Adj","73,185"
"1995","12","Dec","Abilene MSA","Adj","72,985"
"1994","01","Jan","Abilene MSA","Adj","69,401"
"1994","02","Feb","Abilene MSA","Adj","69,572"
"1994","03","Mar","Abilene MSA","Adj","69,716"
"1994","04","Apr","Abilene MSA","Adj","69,901"
"1994","05","May","Abilene MSA","Adj","69,925"
"1994","06","Jun","Abilene MSA","Adj","69,806"
"1994","07","Jul","Abilene MSA","Adj","69,927"
"1994","08","Aug","Abilene MSA","Adj","70,307"
"1994","09","Sep","Abilene MSA","Adj","70,847"
"1994","10","Oct","Abilene MSA","Adj","71,430"
"1994","11","Nov","Abilene MSA","Adj","71,716"
"1994","12","Dec","Abilene MSA","Adj","71,886"
"1993","01","Jan","Abilene MSA","Adj","68,476"
"1993","02","Feb","Abilene MSA","Adj","68,499"
"1993","03","Mar","Abilene MSA","Adj","68,447"
"1993","04","Apr","Abilene MSA","Adj","68,447"
"1993","05","May","Abilene MSA","Adj","68,755"
"1993","06","Jun","Abilene MSA","Adj","69,080"
"1993","07","Jul","Abilene MSA","Adj","69,192"
"1993","08","Aug","Abilene MSA","Adj","69,149"
"1993","09","Sep","Abilene MSA","Adj","69,058"
"1993","10","Oct","Abilene MSA","Adj","69,054"
"1993","11","Nov","Abilene MSA","Adj","69,087"
"1993","12","Dec","Abilene MSA","Adj","69,195"
"1992","01","Jan","Abilene MSA","Adj","66,368"
"1992","02","Feb","Abilene MSA","Adj","66,186"
"1992","03","Mar","Abilene MSA","Adj","66,278"
"1992","04","Apr","Abilene MSA","Adj","66,603"
"1992","05","May","Abilene MSA","Adj","66,846"
"1992","06","Jun","Abilene MSA","Adj","67,192"
"1992","07","Jul","Abilene MSA","Adj","67,610"
"1992","08","Aug","Abilene MSA","Adj","67,827"
"1992","09","Sep","Abilene MSA","Adj","67,731"
"1992","10","Oct","Abilene MSA","Adj","67,496"
"1992","11","Nov","Abilene MSA","Adj","67,666"
"1992","12","Dec","Abilene MSA","Adj","68,204"
"1991","01","Jan","Abilene MSA","Adj","64,872"
"1991","02","Feb","Abilene MSA","Adj","65,056"
"1991","03","Mar","Abilene MSA","Adj","65,209"
"1991","04","Apr","Abilene MSA","Adj","65,244"
"1991","05","May","Abilene MSA","Adj","65,299"
"1991","06","Jun","Abilene MSA","Adj","65,729"
"1991","07","Jul","Abilene MSA","Adj","66,177"
"1991","08","Aug","Abilene MSA","Adj","66,213"
"1991","09","Sep","Abilene MSA","Adj","66,075"
"1991","10","Oct","Abilene MSA","Adj","66,053"
"1991","11","Nov","Abilene MSA","Adj","66,203"
"1991","12","Dec","Abilene MSA","Adj","66,382"
"1990","01","Jan","Abilene MSA","Adj","64,578"
"1990","02","Feb","Abilene MSA","Adj","64,578"
"1990","03","Mar","Abilene MSA","Adj","64,617"
"1990","04","Apr","Abilene MSA","Adj","64,729"
"1990","05","May","Abilene MSA","Adj","64,795"
"1990","06","Jun","Abilene MSA","Adj","64,550"
"1990","07","Jul","Abilene MSA","Adj","64,175"
"1990","08","Aug","Abilene MSA","Adj","64,143"
"1990","09","Sep","Abilene MSA","Adj","64,384"
"1990","10","Oct","Abilene MSA","Adj","64,555"
"1990","11","Nov","Abilene MSA","Adj","64,592"
"1990","12","Dec","Abilene MSA","Adj","64,681"
"2017","01","Jan","Amarillo MSA","Adj","127,666"
"2017","02","Feb","Amarillo MSA","Adj","128,128"
"2017","03","Mar","Amarillo MSA","Adj","128,512"
"2017","04","Apr","Amarillo MSA","Adj","128,538"
"2017","05","May","Amarillo MSA","Adj","128,358"
"2017","06","Jun","Amarillo MSA","Adj","128,227"
"2017","07","Jul","Amarillo MSA","Adj","128,001"
"2017","08","Aug","Amarillo MSA","Adj","128,283"
"2017","09","Sep","Amarillo MSA","Adj","128,596"
"2016","01","Jan","Amarillo MSA","Adj","126,222"
"2016","02","Feb","Amarillo MSA","Adj","126,812"
"2016","03","Mar","Amarillo MSA","Adj","127,292"
"2016","04","Apr","Amarillo MSA","Adj","127,381"
"2016","05","May","Amarillo MSA","Adj","127,660"
"2016","06","Jun","Amarillo MSA","Adj","127,614"
"2016","07","Jul","Amarillo MSA","Adj","127,383"
"2016","08","Aug","Amarillo MSA","Adj","127,599"
"2016","09","Sep","Amarillo MSA","Adj","127,546"
"2016","10","Oct","Amarillo MSA","Adj","127,104"
"2016","11","Nov","Amarillo MSA","Adj","127,535"
"2016","12","Dec","Amarillo MSA","Adj","127,543"
"2015","01","Jan","Amarillo MSA","Adj","125,688"
"2015","02","Feb","Amarillo MSA","Adj","125,877"
"2015","03","Mar","Amarillo MSA","Adj","125,958"
"2015","04","Apr","Amarillo MSA","Adj","125,920"
"2015","05","May","Amarillo MSA","Adj","125,888"
"2015","06","Jun","Amarillo MSA","Adj","125,885"
"2015","07","Jul","Amarillo MSA","Adj","125,910"
"2015","08","Aug","Amarillo MSA","Adj","125,953"
"2015","09","Sep","Amarillo MSA","Adj","125,968"
"2015","10","Oct","Amarillo MSA","Adj","126,008"
"2015","11","Nov","Amarillo MSA","Adj","126,098"
"2015","12","Dec","Amarillo MSA","Adj","126,195"
"2014","01","Jan","Amarillo MSA","Adj","126,067"
"2014","02","Feb","Amarillo MSA","Adj","126,300"
"2014","03","Mar","Amarillo MSA","Adj","126,377"
"2014","04","Apr","Amarillo MSA","Adj","126,345"
"2014","05","May","Amarillo MSA","Adj","126,274"
"2014","06","Jun","Amarillo MSA","Adj","126,174"
"2014","07","Jul","Amarillo MSA","Adj","125,990"
"2014","08","Aug","Amarillo MSA","Adj","125,768"
"2014","09","Sep","Amarillo MSA","Adj","125,639"
"2014","10","Oct","Amarillo MSA","Adj","125,605"
"2014","11","Nov","Amarillo MSA","Adj","125,556"
"2014","12","Dec","Amarillo MSA","Adj","125,550"
"2013","01","Jan","Amarillo MSA","Adj","125,656"
"2013","02","Feb","Amarillo MSA","Adj","125,453"
"2013","03","Mar","Amarillo MSA","Adj","125,414"
"2013","04","Apr","Amarillo MSA","Adj","125,564"
"2013","05","May","Amarillo MSA","Adj","125,694"
"2013","06","Jun","Amarillo MSA","Adj","125,754"
"2013","07","Jul","Amarillo MSA","Adj","125,758"
"2013","08","Aug","Amarillo MSA","Adj","125,697"
"2013","09","Sep","Amarillo MSA","Adj","125,579"
"2013","10","Oct","Amarillo MSA","Adj","125,458"
"2013","11","Nov","Amarillo MSA","Adj","125,509"
"2013","12","Dec","Amarillo MSA","Adj","125,753"
"2012","01","Jan","Amarillo MSA","Adj","125,586"
"2012","02","Feb","Amarillo MSA","Adj","125,490"
"2012","03","Mar","Amarillo MSA","Adj","125,366"
"2012","04","Apr","Amarillo MSA","Adj","125,192"
"2012","05","May","Amarillo MSA","Adj","125,084"
"2012","06","Jun","Amarillo MSA","Adj","125,155"
"2012","07","Jul","Amarillo MSA","Adj","125,261"
"2012","08","Aug","Amarillo MSA","Adj","125,371"
"2012","09","Sep","Amarillo MSA","Adj","125,683"
"2012","10","Oct","Amarillo MSA","Adj","125,985"
"2012","11","Nov","Amarillo MSA","Adj","126,031"
"2012","12","Dec","Amarillo MSA","Adj","125,881"
"2011","01","Jan","Amarillo MSA","Adj","123,958"
"2011","02","Feb","Amarillo MSA","Adj","124,277"
"2011","03","Mar","Amarillo MSA","Adj","124,579"
"2011","04","Apr","Amarillo MSA","Adj","124,769"
"2011","05","May","Amarillo MSA","Adj","124,912"
"2011","06","Jun","Amarillo MSA","Adj","125,099"
"2011","07","Jul","Amarillo MSA","Adj","125,363"
"2011","08","Aug","Amarillo MSA","Adj","125,635"
"2011","09","Sep","Amarillo MSA","Adj","125,760"
"2011","10","Oct","Amarillo MSA","Adj","125,813"
"2011","11","Nov","Amarillo MSA","Adj","125,844"
"2011","12","Dec","Amarillo MSA","Adj","125,741"
"2010","01","Jan","Amarillo MSA","Adj","121,170"
"2010","02","Feb","Amarillo MSA","Adj","121,166"
"2010","03","Mar","Amarillo MSA","Adj","121,301"
"2010","04","Apr","Amarillo MSA","Adj","121,627"
"2010","05","May","Amarillo MSA","Adj","121,987"
"2010","06","Jun","Amarillo MSA","Adj","122,196"
"2010","07","Jul","Amarillo MSA","Adj","122,402"
"2010","08","Aug","Amarillo MSA","Adj","122,676"
"2010","09","Sep","Amarillo MSA","Adj","122,886"
"2010","10","Oct","Amarillo MSA","Adj","123,063"
"2010","11","Nov","Amarillo MSA","Adj","123,304"
"2010","12","Dec","Amarillo MSA","Adj","123,628"
"2009","01","Jan","Amarillo MSA","Adj","124,655"
"2009","02","Feb","Amarillo MSA","Adj","124,605"
"2009","03","Mar","Amarillo MSA","Adj","124,784"
"2009","04","Apr","Amarillo MSA","Adj","125,073"
"2009","05","May","Amarillo MSA","Adj","125,256"
"2009","06","Jun","Amarillo MSA","Adj","125,335"
"2009","07","Jul","Amarillo MSA","Adj","125,377"
"2009","08","Aug","Amarillo MSA","Adj","125,318"
"2009","09","Sep","Amarillo MSA","Adj","125,206"
"2009","10","Oct","Amarillo MSA","Adj","125,192"
"2009","11","Nov","Amarillo MSA","Adj","125,219"
"2009","12","Dec","Amarillo MSA","Adj","125,168"
"2008","01","Jan","Amarillo MSA","Adj","125,101"
"2008","02","Feb","Amarillo MSA","Adj","125,090"
"2008","03","Mar","Amarillo MSA","Adj","125,053"
"2008","04","Apr","Amarillo MSA","Adj","124,980"
"2008","05","May","Amarillo MSA","Adj","124,763"
"2008","06","Jun","Amarillo MSA","Adj","124,663"
"2008","07","Jul","Amarillo MSA","Adj","124,777"
"2008","08","Aug","Amarillo MSA","Adj","124,966"
"2008","09","Sep","Amarillo MSA","Adj","125,223"
"2008","10","Oct","Amarillo MSA","Adj","125,386"
"2008","11","Nov","Amarillo MSA","Adj","125,242"
"2008","12","Dec","Amarillo MSA","Adj","124,912"
"2007","01","Jan","Amarillo MSA","Adj","125,318"
"2007","02","Feb","Amarillo MSA","Adj","125,109"
"2007","03","Mar","Amarillo MSA","Adj","124,897"
"2007","04","Apr","Amarillo MSA","Adj","124,700"
"2007","05","May","Amarillo MSA","Adj","124,521"
"2007","06","Jun","Amarillo MSA","Adj","124,519"
"2007","07","Jul","Amarillo MSA","Adj","124,561"
"2007","08","Aug","Amarillo MSA","Adj","124,469"
"2007","09","Sep","Amarillo MSA","Adj","124,453"
"2007","10","Oct","Amarillo MSA","Adj","124,623"
"2007","11","Nov","Amarillo MSA","Adj","124,828"
"2007","12","Dec","Amarillo MSA","Adj","124,990"
"2006","01","Jan","Amarillo MSA","Adj","124,425"
"2006","02","Feb","Amarillo MSA","Adj","124,748"
"2006","03","Mar","Amarillo MSA","Adj","124,947"
"2006","04","Apr","Amarillo MSA","Adj","125,137"
"2006","05","May","Amarillo MSA","Adj","125,408"
"2006","06","Jun","Amarillo MSA","Adj","125,598"
"2006","07","Jul","Amarillo MSA","Adj","125,631"
"2006","08","Aug","Amarillo MSA","Adj","125,597"
"2006","09","Sep","Amarillo MSA","Adj","125,459"
"2006","10","Oct","Amarillo MSA","Adj","125,292"
"2006","11","Nov","Amarillo MSA","Adj","125,278"
"2006","12","Dec","Amarillo MSA","Adj","125,366"
"2005","01","Jan","Amarillo MSA","Adj","121,745"
"2005","02","Feb","Amarillo MSA","Adj","121,674"
"2005","03","Mar","Amarillo MSA","Adj","121,775"
"2005","04","Apr","Amarillo MSA","Adj","121,936"
"2005","05","May","Amarillo MSA","Adj","122,112"
"2005","06","Jun","Amarillo MSA","Adj","122,245"
"2005","07","Jul","Amarillo MSA","Adj","122,535"
"2005","08","Aug","Amarillo MSA","Adj","122,975"
"2005","09","Sep","Amarillo MSA","Adj","123,322"
"2005","10","Oct","Amarillo MSA","Adj","123,535"
"2005","11","Nov","Amarillo MSA","Adj","123,679"
"2005","12","Dec","Amarillo MSA","Adj","123,980"
"2004","01","Jan","Amarillo MSA","Adj","122,770"
"2004","02","Feb","Amarillo MSA","Adj","122,886"
"2004","03","Mar","Amarillo MSA","Adj","122,957"
"2004","04","Apr","Amarillo MSA","Adj","123,115"
"2004","05","May","Amarillo MSA","Adj","123,303"
"2004","06","Jun","Amarillo MSA","Adj","123,346"
"2004","07","Jul","Amarillo MSA","Adj","123,218"
"2004","08","Aug","Amarillo MSA","Adj","123,020"
"2004","09","Sep","Amarillo MSA","Adj","122,724"
"2004","10","Oct","Amarillo MSA","Adj","122,418"
"2004","11","Nov","Amarillo MSA","Adj","122,249"
"2004","12","Dec","Amarillo MSA","Adj","122,031"
"2003","01","Jan","Amarillo MSA","Adj","118,666"
"2003","02","Feb","Amarillo MSA","Adj","118,963"
"2003","03","Mar","Amarillo MSA","Adj","119,294"
"2003","04","Apr","Amarillo MSA","Adj","119,593"
"2003","05","May","Amarillo MSA","Adj","119,965"
"2003","06","Jun","Amarillo MSA","Adj","120,426"
"2003","07","Jul","Amarillo MSA","Adj","120,802"
"2003","08","Aug","Amarillo MSA","Adj","121,053"
"2003","09","Sep","Amarillo MSA","Adj","121,320"
"2003","10","Oct","Amarillo MSA","Adj","121,721"
"2003","11","Nov","Amarillo MSA","Adj","122,168"
"2003","12","Dec","Amarillo MSA","Adj","122,525"
"2002","01","Jan","Amarillo MSA","Adj","115,191"
"2002","02","Feb","Amarillo MSA","Adj","115,754"
"2002","03","Mar","Amarillo MSA","Adj","116,126"
